window_start,window_end,group_key,elections,leader_intervals_started,we_are_leader,mean_leader_tenure_ms,p95_leader_tenure_ms,append_failures,vote_rejections,vote_timeouts,invocation_retries,invocation_timeouts,membership_changes,cluster_suspicions,cp_autoremove_scheduled,cp_autoremove_seconds_sum,pre_vote_requests,pre_vote_rejections,pre_vote_ignored,term_moves,snapshots_installed,tcp_disconnects,tcp_connect_attempts,tcp_connect_timeouts,network_instability_index,cp_stability_index
1970-01-01 15:28:00,1970-01-01 15:29:00,METADATA,4,1,1,3617784,3617784,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,723.556800
1970-01-01 15:28:00,1970-01-01 15:29:00,cpgroup-0,4,1,1,3619244,3619244,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,723.848800
1970-01-01 15:28:00,1970-01-01 15:29:00,cpgroup-1,4,1,1,3619156,3619156,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,723.831200
1970-01-01 15:28:00,1970-01-01 15:29:00,cpgroup-2,4,1,1,3618802,3618802,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,723.760400
1970-01-01 15:28:00,1970-01-01 15:29:00,cpgroup-3,4,1,1,3617210,3617210,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,723.442000
1970-01-01 15:28:00,1970-01-01 15:29:00,cpgroup-4,4,1,1,57141,57141,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11.428200
1970-01-01 15:29:00,1970-01-01 15:30:00,cpgroup-4,4,1,1,3556725,3556725,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,711.345000
1970-01-01 16:28:00,1970-01-01 16:29:00,METADATA,3,1,1,4855,4855,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.213750
1970-01-01 16:28:00,1970-01-01 16:29:00,cpgroup-0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
1970-01-01 16:28:00,1970-01-01 16:29:00,cpgroup-1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
1970-01-01 16:28:00,1970-01-01 16:29:00,cpgroup-2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
1970-01-01 16:28:00,1970-01-01 16:29:00,cpgroup-3,1,1,1,1953,1953,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.976500
1970-01-01 16:28:00,1970-01-01 16:29:00,cpgroup-4,3,1,1,5349,5349,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.337250
